timestamp,airport_code,completion_rate,average_eta,active_drivers,cancellation_rate,queue_size,surge_multiplier,request_volume
2026-09-15 09:00,SFO,82,14,420,8,38,1.2,520
2026-09-15 10:00,SFO,78,17,390,11,52,1.3,610
2026-09-15 11:00,SFO,72,21,350,15,68,1.4,720
2026-09-15 09:00,LAX,88,12,510,6,30,1.1,580
2026-09-15 10:00,LAX,84,15,480,9,45,1.2,650
2026-09-15 11:00,LAX,76,19,430,13,61,1.4,760
2026-09-15 09:00,JFK,86,13,460,7,34,1.1,540
2026-09-15 10:00,JFK,79,16,425,10,49,1.2,620
2026-09-15 11:00,JFK,73,22,380,16,72,1.3,740

